Flow,maxE2E (us),Deadline (us),Path
Flow_0,0.00012738000243610345,12049,node0_0_0_0:0:0->sw_0_0:1:0->sw_0_3:2:0->sw_0_6:3:0->node0_0_6_0:4:0
Flow_1,5.9090000960645576e-05,13396,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_1:4:0
Flow_10,6.745000101872268e-05,12910,node0_0_2_1:0:0->sw_0_2:1:0->sw_0_3:2:0->sw_0_6:3:0->node0_0_6_1:4:0
Flow_11,0.00014202000233781175,19044,node0_0_5_1:0:0->sw_0_5:1:0->sw_0_0:2:0->sw_0_3:3:0->sw_0_6:4:0->node0_0_6_0:5:0
Flow_12,0.0001257600022116636,17020,node0_0_0_0:0:0->sw_0_0:1:0->sw_0_3:2:0->sw_0_6:3:0->node0_0_6_1:4:0
Flow_13,4.974000064554202e-05,17088,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->node0_0_6_0:3:0
Flow_14,0.00011036000181407297,16154,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_0:4:0
Flow_15,4.177000028427785e-05,15512,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_1:2:0->node0_0_1_0:3:0
Flow_16,3.2940000308975135e-05,14692,node0_0_1_1:0:0->sw_0_1:1:0->sw_0_6:2:0->node0_0_6_0:3:0
Flow_17,0.00012576000237222103,15756,node0_0_0_0:0:0->sw_0_0:1:0->sw_0_3:2:0->sw_0_6:3:0->node0_0_6_1:4:0
Flow_18,3.2420000249149515e-05,14909,node0_0_2_1:0:0->sw_0_2:1:0->sw_0_3:2:0->node0_0_3_0:3:0
Flow_19,0.00017464000351563686,13974,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_0:4:0->node0_0_0_1:5:0
Flow_2,3.2940000388535144e-05,19752,node0_0_1_1:0:0->sw_0_1:1:0->sw_0_6:2:0->node0_0_6_0:3:0
Flow_20,0.00012576000226496606,18037,node0_0_0_0:0:0->sw_0_0:1:0->sw_0_3:2:0->sw_0_6:3:0->node0_0_6_1:4:0
Flow_21,6.846000082473769e-05,13328,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_0:4:0->node0_0_0_1:5:0
Flow_22,0.0001686300031024494,18888,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_2:4:0->node0_0_2_0:5:0
Flow_23,4.902000086549499e-05,15519,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->node0_0_6_0:3:0
Flow_24,0.00019233000343626635,15198,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_0:4:0->sw_0_5:5:0->node0_0_5_0:6:0
Flow_25,0.00014568000284863021,12311,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_1:4:0
Flow_26,7.857000106037855e-05,18499,node0_0_1_1:0:0->sw_0_1:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_1:4:0
Flow_27,0.00012307000189400906,18584,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_0:4:0->sw_0_5:5:0->node0_0_5_0:6:0
Flow_28,0.00017929000330490336,10368,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_2:4:0->node0_0_2_0:5:0
Flow_3,0.0001512800025304871,12695,node0_0_5_1:0:0->sw_0_5:1:0->sw_0_0:2:0->sw_0_3:3:0->sw_0_6:4:0->sw_0_1:5:0->node0_0_1_0:6:0
Flow_4,8.655000130448253e-05,12344,node0_0_1_1:0:0->sw_0_1:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_0:4:0
Flow_5,1.4160000048113752e-05,17296,node0_0_5_1:0:0->sw_0_5:1:0->sw_0_2:2:0->node0_0_2_0:3:0
Flow_6,2.5650000194308518e-05,17690,node0_0_1_1:0:0->sw_0_1:1:0->sw_0_6:2:0->node0_0_6_1:3:0
Flow_7,0.0001686300031474798,10302,node0_0_4_0:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->sw_0_2:4:0->node0_0_2_0:5:0
Flow_8,6.611000099678779e-05,18993,node0_0_4_1:0:0->sw_0_4:1:0->sw_0_6:2:0->sw_0_3:3:0->node0_0_3_0:4:0
Flow_9,1.574000008609925e-05,10860,node0_0_5_1:0:0->sw_0_5:1:0->node0_0_5_0:2:0
